variant,run,label,width,height,elapsed_ms,png_sha256
baseline,1,initial-0,1536,1024,52.81878,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,1,initial-1,1536,1024,41.544809,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,1,initial-2,1536,1024,39.642959,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,1,initial-3,1536,1024,40.899457,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,1,initial-4,1536,1024,40.61518,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,1,small-0,960,640,27.571293,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,1,small-1,960,640,20.994813,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,1,small-2,960,640,20.846107,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,1,large-0,1920,1200,74.315243,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,1,large-1,1920,1200,59.585891,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,1,large-2,1920,1200,56.79063,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,1,restored-0,1536,1024,45.414622,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,1,restored-1,1536,1024,42.547784,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,1,restored-2,1536,1024,40.97155,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,initial-0,1536,1024,52.694031,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,initial-1,1536,1024,43.534959,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,initial-2,1536,1024,42.202895,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,initial-3,1536,1024,42.730872,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,initial-4,1536,1024,42.806527,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,small-0,960,640,21.783557,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,2,small-1,960,640,21.817742,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,2,small-2,960,640,19.410237,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,2,large-0,1920,1200,73.634459,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,2,large-1,1920,1200,58.326588,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,2,large-2,1920,1200,55.347553,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,2,restored-0,1536,1024,42.694115,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,restored-1,1536,1024,41.47151,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,2,restored-2,1536,1024,41.487441,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,initial-0,1536,1024,51.501135,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,initial-1,1536,1024,43.431949,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,initial-2,1536,1024,42.779113,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,initial-3,1536,1024,41.314683,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,initial-4,1536,1024,40.805583,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,small-0,960,640,22.823853,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,3,small-1,960,640,21.387538,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,3,small-2,960,640,20.884449,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
baseline,3,large-0,1920,1200,74.798174,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,3,large-1,1920,1200,58.567273,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,3,large-2,1920,1200,62.013328,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
baseline,3,restored-0,1536,1024,49.904746,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,restored-1,1536,1024,40.663614,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
baseline,3,restored-2,1536,1024,45.229013,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,initial-0,1536,1024,56.833486,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,initial-1,1536,1024,41.510586,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,initial-2,1536,1024,43.10688,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,initial-3,1536,1024,40.967029,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,initial-4,1536,1024,42.409928,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,small-0,960,640,22.976953,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,1,small-1,960,640,19.823999,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,1,small-2,960,640,19.347823,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,1,large-0,1920,1200,75.533663,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,1,large-1,1920,1200,58.359088,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,1,large-2,1920,1200,56.636761,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,1,restored-0,1536,1024,42.61744,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,restored-1,1536,1024,40.185697,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,1,restored-2,1536,1024,43.766794,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,initial-0,1536,1024,53.682457,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,initial-1,1536,1024,42.245348,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,initial-2,1536,1024,39.55245,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,initial-3,1536,1024,40.137227,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,initial-4,1536,1024,39.139806,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,small-0,960,640,24.293611,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,2,small-1,960,640,20.869597,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,2,small-2,960,640,20.670584,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,2,large-0,1920,1200,74.935155,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,2,large-1,1920,1200,58.90073,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,2,large-2,1920,1200,57.45256,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,2,restored-0,1536,1024,45.062468,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,restored-1,1536,1024,40.610282,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,2,restored-2,1536,1024,40.96314,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,initial-0,1536,1024,52.950935,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,initial-1,1536,1024,44.451394,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,initial-2,1536,1024,40.564286,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,initial-3,1536,1024,40.249831,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,initial-4,1536,1024,43.292993,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,small-0,960,640,24.654721,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,3,small-1,960,640,19.583753,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,3,small-2,960,640,20.774266,d6e87dbeda5e9266dfbc98cd41c88fbe04c27defdf7b2507278c78756ab75f26
candidate,3,large-0,1920,1200,74.986555,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,3,large-1,1920,1200,57.530891,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,3,large-2,1920,1200,54.655181,d87deeeb126ae39ce3320faa74d0628ceefd8fa8c524cf954a164ed2de19d872
candidate,3,restored-0,1536,1024,43.514963,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,restored-1,1536,1024,42.185742,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
candidate,3,restored-2,1536,1024,40.19627,5b9379a7412435e23215a2a995600c505ff4d3f4cbf8677a0ee4c9b43cc3b434
