variant,run,phase,rss_kib,pss_kib,anonymous_kib,drm_total_gtt_kib,drm_resident_gtt_kib,drm_resident_vram_kib
baseline,1,idle-1,65076,48739,8080,9440,10208,32200
baseline,1,idle-2,65076,48737,8080,9440,10208,32200
baseline,1,idle-3,65076,48739,8080,9440,10208,32200
baseline,1,after-initial-captures,76944,60479,19820,15584,16352,32200
baseline,1,after-small-captures,76952,60489,19828,15584,16352,14264
baseline,1,after-large-captures,81952,65487,24828,18440,19208,49672
baseline,1,after-restored-captures,81952,65487,24828,18440,19208,32284
baseline,2,idle-1,64424,48120,8324,9440,10208,32212
baseline,2,idle-2,64424,48120,8324,9440,10208,32212
baseline,2,idle-3,64424,48120,8324,9440,10208,32212
baseline,2,after-initial-captures,76156,59852,19996,15584,16352,32212
baseline,2,after-small-captures,76156,59852,19996,15584,16352,14264
baseline,2,after-large-captures,81156,64852,24996,18440,19208,49664
baseline,2,after-restored-captures,81156,64852,24996,18440,19208,32284
baseline,3,idle-1,64776,48539,8064,9440,10208,32212
baseline,3,idle-2,64776,48540,8064,9440,10208,32212
baseline,3,idle-3,64776,48540,8064,9440,10208,32212
baseline,3,after-initial-captures,76476,60240,19764,15584,16352,32212
baseline,3,after-small-captures,76480,60240,19768,15584,16352,14264
baseline,3,after-large-captures,81480,65240,24768,18440,19208,49664
baseline,3,after-restored-captures,81480,65240,24768,18440,19208,32284
candidate,1,idle-1,64224,47903,8332,3296,4064,32212
candidate,1,idle-2,64224,47903,8332,3296,4064,32212
candidate,1,idle-3,64224,47903,8332,3296,4064,32212
candidate,1,after-initial-captures,75972,59651,20016,3296,4064,32212
candidate,1,after-small-captures,75972,59651,20016,3296,4064,14264
candidate,1,after-large-captures,80972,64651,25016,3296,4064,49644
candidate,1,after-restored-captures,80972,64651,25016,3296,4064,32264
candidate,2,idle-1,64732,48372,8308,3296,4064,32212
candidate,2,idle-2,64732,48374,8308,3296,4064,32212
candidate,2,idle-3,64732,48374,8308,3296,4064,32212
candidate,2,after-initial-captures,76556,60198,19964,3296,4064,32212
candidate,2,after-small-captures,76556,60198,19964,3296,4064,14264
candidate,2,after-large-captures,81556,65204,24964,3296,4064,49644
candidate,2,after-restored-captures,81560,65208,24968,3296,4064,32264
candidate,3,idle-1,64236,48028,7936,3296,4064,32212
candidate,3,idle-2,64236,48028,7936,3296,4064,32212
candidate,3,idle-3,64236,48028,7936,3296,4064,32212
candidate,3,after-initial-captures,76004,59796,19576,3296,4064,32212
candidate,3,after-small-captures,76008,59800,19580,3296,4064,14264
candidate,3,after-large-captures,81008,64800,24580,3296,4064,49644
candidate,3,after-restored-captures,81008,64800,24580,3296,4064,32264
